23:33:47.648 [main] INFO  org.jarvis.core.JarvisCoreServer - Starting JarvisCoreServer on kazoar-PC with PID 23260 (Y:\mars\git\jarvis\jarvis-core\jarvis-core-server\target\classes started by kazoar in Y:\mars\git\jarvis\jarvis-core\jarvis-core-server)
23:33:47.648 [main] INFO  org.jarvis.core.JarvisCoreServer - No active profile set, falling back to default profiles: default
23:33:47.995 [main] INFO  org.springframework.context.annotation.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1e2a2d: startup date [Wed Mar 30 23:33:47 CEST 2016]; root of context hierarchy
23:33:48.931 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
23:33:49.080 [main] INFO  org.ehcache.spi.ServiceLocator - All Services successfully started.
23:33:49.080 [main] INFO  org.ehcache.EhcacheManager - Cache 'preConfigured' is getting created in EhcacheManager.
23:33:49.080 [main] INFO  org.ehcache.spi.serialization.DefaultSerializationProvider - Serializer for <java.lang.String> : org.ehcache.internal.serialization.CompactJavaSerializer@10acd6
23:33:49.080 [main] INFO  org.ehcache.spi.copy.DefaultCopyProvider - Copier for <java.lang.String> : org.ehcache.internal.copy.IdentityCopier@d951e7
23:33:49.080 [main] INFO  org.ehcache.spi.copy.DefaultCopyProvider - Copier for <java.lang.Object> : org.ehcache.internal.copy.IdentityCopier@1ad12b6
23:33:49.164 [main] INFO  class org.ehcache.Ehcache-preConfigured - Initialize successful.
23:33:49.164 [main] INFO  org.ehcache.EhcacheManager - Cache 'preConfigured' created in EhcacheManager.
23:33:49.164 [main] INFO  org.ehcache.EhcacheManager - Initialize successful.
23:33:49.164 [main] INFO  org.ehcache.EhcacheManager - Cache 'myCache' is getting created in EhcacheManager.
23:33:49.164 [main] INFO  org.ehcache.spi.serialization.DefaultSerializationProvider - Serializer for <java.lang.String> : org.ehcache.internal.serialization.CompactJavaSerializer@1b67fcb
23:33:49.164 [main] INFO  org.ehcache.spi.copy.DefaultCopyProvider - Copier for <java.lang.String> : org.ehcache.internal.copy.IdentityCopier@19f74d0
23:33:49.164 [main] INFO  org.ehcache.spi.copy.DefaultCopyProvider - Copier for <java.lang.Object> : org.ehcache.internal.copy.IdentityCopier@1c86db8
23:33:49.179 [main] INFO  class org.ehcache.Ehcache-myCache - Initialize successful.
23:33:49.179 [main] INFO  org.ehcache.EhcacheManager - Cache 'myCache' created in EhcacheManager.
23:36:22.967 [main] INFO  org.jarvis.core.JarvisCoreServer - Starting JarvisCoreServer on kazoar-PC with PID 29428 (Y:\mars\git\jarvis\jarvis-core\jarvis-core-server\target\classes started by kazoar in Y:\mars\git\jarvis\jarvis-core\jarvis-core-server)
23:36:22.967 [main] INFO  org.jarvis.core.JarvisCoreServer - No active profile set, falling back to default profiles: default
23:36:23.337 [main] INFO  org.springframework.context.annotation.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@5b3fee: startup date [Wed Mar 30 23:36:23 CEST 2016]; root of context hierarchy
23:36:24.254 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
23:36:24.419 [main] INFO  org.ehcache.spi.ServiceLocator - All Services successfully started.
23:36:24.422 [main] INFO  org.ehcache.EhcacheManager - Cache 'preConfigured' is getting created in EhcacheManager.
23:36:24.422 [main] INFO  org.ehcache.spi.serialization.DefaultSerializationProvider - Serializer for <java.lang.String> : org.ehcache.internal.serialization.CompactJavaSerializer@118c260
23:36:24.422 [main] INFO  org.ehcache.spi.copy.DefaultCopyProvider - Copier for <java.lang.String> : org.ehcache.internal.copy.IdentityCopier@1c05ea2
23:36:24.422 [main] INFO  org.ehcache.spi.copy.DefaultCopyProvider - Copier for <java.lang.Object> : org.ehcache.internal.copy.IdentityCopier@891ba7
23:36:24.518 [main] INFO  class org.ehcache.Ehcache-preConfigured - Initialize successful.
